epoch,acc,loss,lr,val_acc,val_loss
0,0.203733545,3.169323134,0.001,0.143725258,3.482812208
1,0.35991161,2.490922503,0.001,0.34223368,3.013436091
2,0.499240399,1.901302745,0.001,0.219316824,7.20852011
3,0.583855076,1.548265021,0.001,0.491851577,2.515322631
4,0.640019334,1.311001063,0.001,0.670840621,1.354593168
5,0.693099161,1.127953868,0.001,0.699106896,1.234954414
6,0.729790074,0.974745025,0.001,0.542491481,1.741435993
7,0.764593499,0.85612964,0.001,0.719915293,1.318635497
8,0.825131204,0.617892218,0.000316228,0.706196482,1.100354028
9,0.843131389,0.552809431,0.000316228,0.863640551,0.594720448
10,0.852983152,0.521196867,0.000316228,0.86612651,0.516320213
11,0.864354113,0.481476474,0.000316228,0.872755733,0.478981601
12,0.87280177,0.452549686,0.000316228,0.827640181,0.627922889
13,0.881686771,0.417383092,0.000316228,0.853328424,0.552184753
14,0.900929936,0.341033212,0.0001,0.928183413,0.297690814
15,0.906339199,0.32140548,0.0001,0.931774243,0.274412046
16,0.907605196,0.320602304,0.0001,0.932879113,0.273161906
17,0.911587334,0.305167303,0.0001,0.929656573,0.291750325
18,0.914901946,0.292856858,0.0001,0.920633464,0.325984506
19,0.919528592,0.277622897,3.16E-05,0.93674616,0.272094699
20,0.922935277,0.266506481,3.16E-05,0.938311394,0.269081038
21,0.923096404,0.267685236,3.16E-05,0.941165643,0.244731541
22,0.927930213,0.252073821,3.16E-05,0.941810151,0.24703814
23,0.925835563,0.255954523,3.16E-05,0.939416264,0.256783511
24,0.925651418,0.258061401,1.00E-05,0.943007094,0.236509771
25,0.927009488,0.248859063,1.00E-05,0.941718078,0.234534844
26,0.929035084,0.246575069,1.00E-05,0.943099167,0.236374421
27,0.929357338,0.247736542,1.00E-05,0.94355953,0.234905571
28,0.93043919,0.239706233,3.16E-06,0.943283312,0.236214008
29,0.926917415,0.249704709,3.16E-06,0.942454659,0.242690937
